area,solidity,max_intensity,prediction
1812,0.6966551326412919,929,0
2502,0.7558912386706949,1015,5
3718,0.8304668304668305,1185,5
10891,0.7960675389225934,1110,3
1193,0.4885339885339885,821,4
3070,0.7644422310756972,861,0
2437,0.7591900311526479,850,0
3061,0.6806760062263731,891,0
2693,0.7596614950634697,863,0
3401,0.706187707641196,777,0
2644,0.7799410029498525,914,5
1563,0.7764530551415797,1005,0
2971,0.8144188596491229,889,0
5684,0.7646979685187677,948,0
1429,0.6785375118708452,1163,5
1599,0.6976439790575916,1048,5
1831,0.6917264828107291,1012,5
14896,0.8224835735188559,978,1
2097,0.7848053892215568,1083,5
2793,0.7005267118133935,1021,0
1800,0.6880733944954128,987,4
1462,0.6925627664613927,955,0
5305,0.7287087912087912,856,0
3203,0.782938156929846,1203,5
6920,0.7984308295834776,954,3
3610,0.7870067582297798,794,0
1983,0.618334892422825,947,4
2099,0.6850522193211488,1013,5
2781,0.8633964607264825,1093,5
3505,0.8311595921271046,1038,5
12702,0.8078610952108376,1025,3
3800,0.7636655948553055,929,0
1047,0.428045789043336,922,4
3363,0.7320417936438833,878,0
3079,0.7289299242424242,956,0
2277,0.7640939597315436,1114,5
1585,0.6811345079501504,930,4
2627,0.6779354838709677,1062,5
1836,0.5612962396820544,952,4
4622,0.7357529449219994,797,0
3774,0.7778235779060181,877,5
1860,0.78052874527906,1203,5
3240,0.8288564850345357,876,5
1356,0.6706231454005934,839,0
1945,0.7179771133259505,1007,5
4384,0.8008768724881257,989,5
1925,0.5246661215590079,974,4
4417,0.8338682272984709,1137,5
13669,0.8258216529724505,893,1
4528,0.8268809349890431,971,0
1656,0.5903743315508021,944,4
1369,0.7243386243386244,861,0
1182,0.7864271457085829,1052,5
1708,0.6974275214373213,1038,5
3446,0.7729923732615522,848,0
2555,0.7457676590776415,1159,5
2202,0.5638924455825864,1010,4
8204,0.8129211256440745,746,0
2792,0.7719104230024882,818,0
4123,0.7271604938271605,943,0
1753,0.729504785684561,1056,5
3627,0.8419220055710307,914,5
4707,0.7287505805852299,871,0
3621,0.775042808219178,882,0
2612,0.7275766016713092,1079,5
2558,0.8151688973868706,938,0
1519,0.7542204568023834,993,0
2546,0.6879221831937314,857,4
11376,0.7963040739185216,778,0
3894,0.7665354330708661,964,0
2277,0.7458237798886341,1220,5
3753,0.7408211606790367,1021,5
1804,0.7071736573892591,1090,5
8863,0.7684237905323392,819,0
2706,0.8043995243757431,984,5
2774,0.7419096014977267,952,5
2917,0.7626143790849673,1178,5
4234,0.827761485826002,686,0
1957,0.6944641589779986,815,0
4277,0.8486111111111111,978,0
2989,0.7311643835616438,1040,5
1850,0.669562070213536,898,4
2471,0.6316462167689162,1246,4
2986,0.7870321560358461,1291,5
14881,0.8140590809628009,975,1
10531,0.799802536644642,961,0
4396,0.6677806471213732,747,0
